sentiment,term,tfidf_score
Negative,buy,207.46
Negative,like,186.37
Negative,bag,171.28
Negative,bad,165.87
Negative,stuff,155.67
Negative,go,155.31
Negative,product,145.87
Negative,use,145.29
Negative,video,142.06
Negative,waste,136.95
Negative,money,130.76
Negative,girl,119.2
Negative,make,117.82
Negative,hate,116.55
Negative,influencer,115.49
Negative,year,108.32
Negative,stop,103.42
Negative,life,98.63
Negative,purse,98.6
Negative,work,96.99
Neutral,bag,88.85
Neutral,buy,78.8
Neutral,use,60.24
Neutral,stuff,59.12
Neutral,product,56.17
Neutral,go,53.44
Neutral,purse,53.42
Neutral,ice,51.83
Neutral,girl,50.36
Neutral,year,48.68
Neutral,influencer,44.1
Neutral,fridge,43.21
Neutral,video,42.94
Neutral,jar,39.73
Neutral,new,38.22
Neutral,think,37.68
Neutral,oh,37.55
Neutral,work,36.64
Neutral,money,35.1
Neutral,restock,34.8
Positive,like,853.32
Positive,love,619.61
Positive,buy,527.44
Positive,bag,460.25
Positive,video,401.63
Positive,laugh,395.62
Positive,good,385.94
Positive,use,381.29
Positive,thank,352.95
Positive,stuff,346.88
Positive,year,339.27
Positive,loud,336.18
Positive,laugh loud,331.14
Positive,product,312.1
Positive,go,303.55
Positive,new,268.91
Positive,make,264.27
Positive,content,259.59
Positive,work,252.34
Positive,girl,248.38
