video_id,title,description,channel,published_at
PEY8IyB653c,"THE UNHINGED CONSUMERISM OF ""RESTOCK"" INFLUENCERS, SO UNREALISTIC! | Influencer Insanity Ep 1","#hannahalonzo #influencer #commentary 

I am creating these videos for entertainment and educational purposes. Please do not contact those featured in this video on their social media platforms or send them hateful comments/messages. I do not condone online bullying or harassment. 

If you love this content, please consider joining with a channel membership for additional perks!
https://www.youtube.com/channel/UCGKUQte8RBCNnI_OYpckErg/join

LET'S CONNECT!
Management & Sponsorship Opportunities: contact@tablerock.com
Business/Interview Inquiries: hannahalonzo06@gmail.com
Instagram:  @thehannahthaler https://www.instagram.com/thehannahthaler/ 
Amazon Storefront: https://www.amazon.com/shop/hannahalonzo
Shopping Links (ShopMy): https://shopmy.us/hannahalonzo

CHAPTERS:
0:00 Welcome to the new series!
2:38 Restock Influencers: An Overview
6:23 Ice Drawer Restock 
15:41 Drink Fridge Restock
18:17 Grocery Restock
23:56 Guest Bathroom Restock
32:43 Junk Drawer Restock (???)
35:20 What’s the point?
37:33 Creator Shoutouts

SOURCES MENTIONED IN THIS VIDEO:
Carissa Cleans It All: https://www.instagram.com/carissacleansitall/
The Barta House: https://www.instagram.com/thebartahouse/

VIDEOS/PLAYLISTS MENTIONED
Anti-MLM Playlist: https://youtube.com/playlist?list=PL7Twtitm5QK4OuyhEd7VpDYMmkhMLRJcK
Poshmark Tips Playlist: https://youtube.com/playlist?list=PL7Twtitm5QK6l7Xk4b_ofAyatINhn5XLS

FAIR USE DISCLAIMER: Copyright Disclaimer - under Section 107 of the copyright act of 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. All faces will be blurred to protect privacy. all photos and videos were originally posted publicly on social media platforms. All opinions in this video are my own.

FTC DISCLAIMER: Some of the links above are affiliate links, meaning that I get a small commission when you make a purchase using them. This does not affect you as the customer, but does help to support me!",Hannah Alonzo,2024-01-22T16:00:12Z
CPY4wg1X1Os,TOXIC “GLOW UP” CULTURE & EXTREME SELF-MAINTENANCE ROUTINES | Influencer Insanity Ep 17,"Get $5 off your next order through my link https://sponsr.is/magicspoon_hannahalonzo_0325 or use code HANNAHALONZO at checkout, or look for Magic Spoon on Amazon and in your nearest grocery store!

#hannahalonzo #glowup #influencer #influencerinsanity

I am creating these videos for entertainment and educational purposes. Please do not contact these people on their social media platforms or send them hateful comments/messages. I do not condone online bullying or harassment. 

If you love this content, please consider supporting the channel with a channel membership!
https://www.youtube.com/channel/UCGKUQte8RBCNnI_OYpckErg/join

LET'S CONNECT!
Management & Sponsorship Opportunities: contact@tablerock.com
Business/Interview Inquiries: hannahalonzo06@gmail.com
Instagram:  @thehannahthaler https://www.instagram.com/thehannahthaler/ 
Amazon Storefront: https://www.amazon.com/shop/hannahalonzo
Shopping Links (ShopMy): https://shopmy.us/hannahalonzo

CHAPTERS
0:00 Intro
4:46 Happy Lights, Naval Pulling, and more!
16:28 Stop Hanging Out With Bums 
23:19 Called a 7/10
25:59 It Never Ends…
29:25 Extreme Self-Maintenance Routine
34:46 “It Girl” Energy
38:41 25 Step Shower Routine
46:17 Morning Shed
50:09 Concerning Morning Routine
55:06 Unrecognizable 
57:30 Rethinking the “Glow Up”

SOURCES MENTIONED IN THIS VIDEO:
Naval Pulling: https://www.womenshealthmag.com/health/a61987741/castor-oil-belly-button/

VIDEOS/PLAYLISTS MENTIONED
Anti-MLM Playlist: https://youtube.com/playlist?list=PL7Twtitm5QK4OuyhEd7VpDYMmkhMLRJcK
Influencer Insanity Playlist: https://www.youtube.com/playlist?list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj

MLM TOP FAILS & INFLUENCER INSANITY CONTENT SUBMISSIONS: 
1. Screen record the video or screenshot the photo you wish to submit. Don't worry about cropping out usernames or blurring faces, I do all of this with my editing software
2. Upload the content to your Google Drive 
3. Right click on the content you uploaded, click ""share"" and type in my email hannahalonzo06@gmail.com to share access with me
THANK YOU!

MLM HORROR STORY SUBMISSIONS: Please email me at horrorstoryforhannah@gmail.com and put ""MLM Horror Story"" in the title. 
(I really appreciate stories that are broken up into paragraphs, that have punctuation, and are proof-read! I will not feature stories that are too difficult or time consuming for me to read due to errors)  

FAIR USE DISCLAIMER: Copyright Disclaimer - under Section 107 of the copyright act of 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. All faces will be blurred to protect privacy. All photos and videos were originally posted publicly on social media platforms. All opinions in this video are my own.

FTC DISCLAIMER: Some of the links above are affiliate links, meaning that I get a small commission when you make a purchase using them. This does not affect you as the customer, but does help to support me! This video is sponsored by Magic Spoon.",Hannah Alonzo,2025-03-24T14:30:06Z
mRhjFU77WUM,Is This the Worst Overconsumption Trend of All Time?,"We've come a long way since the iconic ""What's in My Bag"" days of YouTube... Today, infuencers have hijacked a trend meant for self-expression and made it into a soulless and consumerist crisis. With excessive bag ""restocks"", entire handbag storage rooms, and contrived purse packing videos - Overconsumption is leaving us uninspired and unsatisfied. More importantly, it is causing us to lose our sense of individuality and destroying creativity. Let's discuss! Leave a *LIKE* if you enjoyed this video :-)

Leave a LIKE if you enjoyed this video! :-)


#overconsumption #underconsumption #influencer #tiktok #drama 

What's In My Bag? | Zoella - https://youtu.be/x59f-EPEaFY?si=Zcvf0o6F1KiIkRsf
Inside Emma Watson's Prada Backpack | In The Bag | Vogue - https://youtu.be/yA79KYMLUpI?si=p2PmN9ocH9iDsD0L
Inside Pamela Anderson’s Stella McCartney Handbag | In The Bag - https://youtu.be/ed5W4sMrkWE?si=3-URWfCQKfT8KGQ2


FAIR USE DISCLAIMER: The materials used in this video are adapted and used for educational purposes only. This transformation constitutes a 'fair use' of any such copyrighted material as provided for in Section 107 of the U.S. Copyright Law. Under Section 107 of the Copyright Act 1976, allowance is made for FAIR USE for purposes such as criticism, comment, news reporting, teaching, scholarship and research. 

———————————————————————————————

Leave a comment on your thoughts! I will be sure to check them out!",Kiki Chanel,2025-07-02T14:00:05Z
ZBLqQZ4JAPU,5 Things We Normalize and Overconsume Without Question,"In this video, I’m calling out the everyday things we’ve normalized overbuying. We’ll dive into how seasonal trends affect what we think we “need,” how consumer culture is repackaged as self-care or productivity, and ways we can slowly start deinfluencing ourselves out of the cycle.

CHAPTERS
0:00 - INTRO
1:35 - THING ONE
9:59 - THING TWO
20:12 - THING THREE
26:00 - THING FOUR
31:16 - THING FIVE

#commentary #deinfluencing #videoessay #overconsumption #influencers #tiktokreaction #tiktoktrend 

FOR PARTNERSHIPS
susannahfriesen@wearebv.com

Don't forget to like and subscribe!

_________________________________________________________________________

FAIR USE DISCLAIMER
This video contains copyrighted material that has been used in a transformative manner for purposes of commentary, criticism, and educational analysis. Under Section 107 of the U.S. Copyright Act, fair use allowances are made for ""fair use"" purposes such as criticism, comment, news reporting, teaching, scholarship, and research. All materials used here are presented with respect to fair use principles.

The content on this channel is meant to start conversations, offer perspective, and at times, share what I’ve learned through research and reflection. Everything I say here is my own opinion—I’m not speaking on behalf of any brands or sponsors I may work with.
I do my best to be accurate, but I’m human, and I’m open to correction if I’ve missed something or gotten it wrong. That said, please don’t go after or harass anyone I talk about or react to. If you have thoughts or feedback, the comments are open—but let’s keep things respectful. Thanks for being here.",Susannah Friesen,2025-07-28T13:01:06Z
snEbiost_OQ,"Why we NEED TikTok's ""underconsumption core"" (from a former shopaholic influencer 💁🏻‍♀️)","The pendulum is SWINGING my friends, but this trend is like marmite. Let's discuss! Also,  IF you are still buying single use plastic bottles and have yet to jump onto the reusable bottles train, you can rescue the equivalent of 1,000 ocean-bound plastic bottles with the purchase of a single bottle, cup or flask from our incredible new channel sponsor, OCEAN BOTTLE! Use my code MELANIE10 for 10% off, for yourself or a single-use-plastic-loving friend or family member! https://oceanbottle.co

Ocean Bottle are incredibly proud of all of their claims and they can substantiate and explain ALL of them, so if you have a single question for them they'd be happy to chat to you via their Instagram page, or alternatively you can e-mail them directly at ahoy@oceanbottle.co :)

02:05 - 03:32 Ocean Bottle, our sponsor! 😍

TikTok’s “underconsumption core” is a fast-growing trend that challenges overconsumption, materialism, and performative sustainability by promoting mindful consumption, thrifting, and secondhand shopping. Today I break down how this movement reflects societal pressures and consumer fatigue while also offering a critique of the issues people have with it (as well as one of the overconsumption-driven culture we're all drowning in). As a former shopaholic, I explore how this shift can reshape our relationship with shopping and sustainability—and why I personally do NOT believe it's the same as minimalism, de-influencing etc! 

HOW DO YOU FEEL ABOUT THIS!?!?!?!?!?! Chat to me down below! I read every single comment! xx

#underconsumptioncore #tiktoktrends #sustainability #minimalism #thriftshopping #consciousconsumerism #consumerism #shoppingculture

► I have a lot of fun over on INSTAGRAM with much more regular content, mostly around nostalgia, my love of movies...JOIN US https://instagram.com/melaniiemurphy/?hl=en",Melanie Murphy,2024-10-16T16:21:01Z
hwsGZAmC1Bs,The Rise of Identity Consumerism,"Head over to https://www.shortform.com/accordingtonicole to get a FREE trial + $50 off your annual plan.

Please LIKE this video, leave me a comment, and subscribe for more content.

Support this channel on Patreon: http://www.patreon.com/accordingtonicole
Follow me on Instagram: http://www.instagram.com/according_to_nicole

Business inquires ONLY: AccordingToNicole2022@gmail.com

Support this channel by buying me a coffee: https://www.buymeacoffee.com/nicolesyoutube

📞 Why pay more for your phone bill?  Switch to Mint Mobile to get premium wireless service for just $15/m: https://mint-mobile.58dp.net/EK3dje

MY FAVOURITE THINGS:
📷 My camera: https://amzn.to/3jh9MzX
📸 My main lens: https://amzn.to/3w3a8B6
🎤 My microphone: https://amzn.to/3KRllvz
👖 My favourite jeans: https://amzn.to/3Wtlx4L
🧹 My cordless vacuum: https://amzn.to/3Z9nY0L
🤖 My robot vacuum: https://amzn.to/3WcnRgK
☕️ My espresso machine: https://amzn.to/4ruZFGC
🍳 My cast iron skillet: https://amzn.to/40LiS9U
🔪 My favourite kitchen knife: https://amzn.to/46mNmAf
⏰ My wake up light: https://amzn.to/3YGehUa
💿 My record player: https://amzn.to/3SIJC9b
🔊 My speakers: https://amzn.to/3SK0c8J
🐶 Levi's favourite treats: https://amzn.to/47fOMxM
💼 My camera bag: https://shareasale.com/r.cfm?b=2777116&u=4188206&m=108942&urllink=&afftrack=

***Some of these links are affiliates and I may receive a small commission when you sign up or make a purchase.

Music from Uppbeat (free for Creators!):
https://uppbeat.io/t/pryces/music-is
License code: NHPLCTFW34Y2IAIW",According To Nicole,2026-02-22T15:01:13Z
FTlcMycU13E,dissecting tiktok's newest trend: underconsumption-core,"talking about underconsumption on a platform built around consumption is so meta lol 

overconsumption has become our new normal, to the point that it feels revolutionary to reject it: enter 'underconsumption-core', or just plain 'normal consumption' as some ppl are calling it

let's break down tiktok's newest trend and talk about why our generation is so intent on romanticising everyday life!!

🫶 thanks sm for watching - pls like, comment and subscribe xx

♡ insta: https://www.instagram.com/katieerobinson_/
♡ tiktok: https://www.tiktok.com/@katieerobinson_
♡ threads: https://www.threads.net/@katieerobinson_
💌 substack: https://katierobinson.substack.com
🎧 podcast: refashioned (all major platforms) https://open.spotify.com/show/04EWQpOzuf200iOzdZoiyq?si=130c940dae464960

⏱️ TIMESTAMPS:
00:00 hiii
00:31 consumption-core
01:16 overconsumption is our new norm
01:46 overconsumption & celeb culture
02:12 tiktok's influence
02:54 what is underconsumption core?
03:33 the internet is divided
04:26 is underconsumption legit?
05:18 criticisms & controversies
06:28 rebranding normal consumption
07:37 will it last?
09:14 will this influence buying habits?
09:47 underconsumption IRL
10:37 important context
11:47 byeee

#2024 #2024fashion #fashiontrends  #pinterest #pinterestfashion #fashiontrendforgirls  #fashionnews #springtrends #spring2024 #fashiontrends #antihaul #shopping #whattobuy #sustainablefashion #fashionnews #fashiontiktok #trending #trendingvideo #fyoupage  #smallcreator #fashioninfluencer #fashionblogger #socialmedia #socialcommentary #fashioncommentary #consumption #underconsumption",katie robinson,2024-07-25T18:30:19Z
kzn6HFgCAe0,TIKTOK’S BEAUTY OVERCONSUMPTION CRISIS IS OUT OF CONTROL | Influencer Insanity Ep 14,"Use code HANNAHALONZO130 to get $130 off across your first 4 boxes of Good Chop at https://bit.ly/3yi8m01!

#hannahalonzo #influencerinsanity #overconsumption #tiktok 

I am creating these videos for entertainment and educational purposes. Please do not contact these people on their social media platforms or send them hateful comments/messages. I do not condone online bullying or harassment. 

If you love this content, please consider supporting the channel with a channel membership!
https://www.youtube.com/channel/UCGKUQte8RBCNnI_OYpckErg/join

LET'S CONNECT!
Management & Sponsorship Opportunities: contact@tablerock.com
Business/Interview Inquiries: hannahalonzo06@gmail.com
Instagram:  @thehannahthaler https://www.instagram.com/thehannahthaler/ 
Amazon Storefront: https://www.amazon.com/shop/hannahalonzo
Shopping Links (ShopMy): https://shopmy.us/hannahalonzo

CHAPTERS
0:00 Intro
4:16 Skincare Room Tour
8:40 Too Overwhelming
12:22 Is this an addiction?
16:35 Blush Collection
21:03 These Make Me Angry
26:30 Content Creation Angle 
32:06 Final Thoughts

VIDEOS/PLAYLISTS MENTIONED
Influencer Ep 1: Restock Influencers https://www.youtube.com/watch?v=PEY8IyB653c&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj
Influencer Ep 2: Stanley Cups https://www.youtube.com/watch?v=y95mC9y_Vq8&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=2
Influencer Ep 5: Rage Bait https://www.youtube.com/watch?v=A4jsSuxhooM&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=5
Influencer Ep 11: Self Care Content https://www.youtube.com/watch?v=sRk5RX-vLBw&list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj&index=11
Anti-MLM Playlist: https://youtube.com/playlist?list=PL7Twtitm5QK4OuyhEd7VpDYMmkhMLRJcK
Influencer Insanity Playlist: https://www.youtube.com/playlist?list=PL7Twtitm5QK4K2GaLMhZZs0tA0IlJJFDj

MLM TOP FAILS & INFLUENCER INSANITY CONTENT SUBMISSIONS: 
1. Screen record the video or screenshot the photo you wish to submit. Don't worry about cropping out usernames or blurring faces, I do all of this with my editing software
2. Upload the content to your Google Drive 
3. Right click on the content you uploaded, click ""share"" and type in my email hannahalonzo06@gmail.com to share access with me
THANK YOU!

MLM HORROR STORY SUBMISSIONS: Please email me at horrorstoryforhannah@gmail.com and put ""MLM Horror Story"" in the title. 
(I really appreciate stories that are broken up into paragraphs, that have punctuation, and are proof-read! I will not feature stories that are too difficult or time consuming for me to read due to errors)  

FAIR USE DISCLAIMER: Copyright Disclaimer - under Section 107 of the copyright act of 1976, allowance is made for fair use for purposes such as criticism, comment, news reporting, scholarship, and research. Fair use is a use permitted by copyright statute that might otherwise be infringing. Non-profit, educational or personal use tips the balance in favor of fair use. All faces will be blurred to protect privacy. All photos and videos were originally posted publicly on social media platforms. All opinions in this video are my own.

FTC DISCLAIMER: Some of the links above are affiliate links, meaning that I get a small commission when you make a purchase using them. This does not affect you as the customer, but does help to support me! This video is sponsored by Good Chop.",Hannah Alonzo,2025-01-06T16:00:45Z
aw7ayuTZxi0,How America Got So Good At Buying Sh*t,"Sign up and download Grammarly for FREE: http://grammarly.com/howmoneyworks

-----

Sign up for our FREE newsletter! - https://www.compoundeddaily.com/

Books we recommend - https://www.howmoneyworkslibrary.com/

-----

My Other Channel: @HowMoneyWorksUncut @HowHistoryWorks 

Edited By: Svibe Multimedia Studio

Music Courtesy of: Epidemic Sound

Select Footage Courtesy of: Getty Images

📩 Business Inquiries ➡️ sponsors@worksmedia.group

Sign up for our newsletter https://compoundeddaily.com 👈

All materials in these videos are for educational purposes only and fall within the guidelines of fair use. No copyright infringement intended. This video does not provide investment or financial advice of any kind.

#money #consumerism #wealth 

------

Americans are the best consumers on the planet and it’s really not even close. 
The runner up is China, and they spend less than a THIRD of what we do in any given year, even though they have almost five times as many people. 
It might not always feel like it, but by global standards we are incredibly rich, we LOVE buying shit, and we aren’t afraid of going into debt to keep doing it. 
More of our economy depends on the consumption of goods and services than basically any other major country around the world… but this has to have a limit right? 
As a direct result of our insatiable desire to consume, our household savings rates are now the lowest they have ever been, and high risk, high interest consumer lending has surpassed a trillion dollars. 
That doesn’t include things like car loans, home loans, student loans, medical loans or informal lending like buy now pay later, which are also approaching all time highs…
So what is going to happen to the best consumers on the planet, if they can’t afford to consume any more? And more importantly… could we solve all of our problems by just… buying less junk",How Money Works,2025-03-03T03:02:11Z
4pG-8XLLaE0,Consumerism is the Perfection of Slavery - Prof Jiang Xueqin,"Clip taken from: 
https://www.youtube.com/watch?v=AEPSUC-UQ5k

Subscribe to Predictive History by Prof. Jiang Xueqin: https://www.youtube.com/@PredictiveHistory

The beautiful paintings in the background are from The Singh Twin's collection Slavery of Fashion

https://www.singhtwins.co.uk/exhibitions_current-and-forthcoming_sof.html

Chapters provided by 
@jimfleece2880 

00:00 – Marx's Ideals and Post-WWII Society  
02:04 – The Shift Away from Worker-Centric Society in the 1980s 
02:52 – The Revolt of the Elite and Neoliberalism  
04:49 – Transition to the Consumer as the Organizing Unit   
06:14 – The Mentality of the Consumer and its Consequences   
11:53 – Consumerism as the Perfection of Slavery",Prof. Jiang Clips,2025-07-02T16:10:21Z
KBWTcnkn4uM,Collecting VS Overconsumption: The BIG Problem,"Are you a careful collector... or an out-of-control consumer? Today we're breaking down the REAL differences between collecting and overconsuming. 

When does a collection BECOME overconsumption? How much stuff is TOO much?! Why is collecting okay, but overconsuming isn't?! 

From Needohs, Stanley Cups and Labubus to crazy body care and 'shower routine' collections: are influencers disguising their hoarding, impulse buying and trend-following as 'collecting'?

We also discuss how you can prevent your collecting from becoming overconsumption - by looking at some examples of 'collection content' on social media, Rach's own experience with impulsive purchasing and collecting, PLUS discussing some stories and comments from viewers! 

In today's video:
00:00 - Intro
01:51 - What's the difference?
07:04 - Case study: Lakenzo's dandelion crayon collection
08:18 - Can we judge other people's intent?
09:09 - Case study: mug collection by tatis_corner
13:13 - Are you REALLY 'collecting'?
14:35 - Bodycare collections... hoarding in disguise?
18:19 - Why is collecting okay but overconsumption isn't?
21:26 - Rach's big brain metaphor 
22:52 - How can we keep our collecting under control?
25:06 - The 'Exit Strategy' (+ video by thiccnesseverdeen)
29:26 - Reading your comments
36:33 - Final thoughts

Fair use disclaimer:
Under Section 107 of the Copyright Act 1976, allowance is made for ""fair use"" for purposes such as criticism, comment, news reporting, teaching, scholarship, and research. All content and materials used in this video are included and adapted for these purposes only. 

~ ~ ~ ~ ~ 

Hi I'm Rach - a lifestyle creator from the UK!

I post daily about de-influencing, shopping, trends & 'viral products', influencers, responsible consumption & saving money.

#overconsumption #collection #shopping #collectibles #reaction #commentary #deinfluencing #internettrends",Rachel Louise,2026-03-14T15:00:36Z
vB5KTQrUaH0,Why Nothing You Buy Feels Good Anymore,"Thanks to Betterment for sponsoring this video! Get started, be invested, Sign up in minutes: https://www.betterment.com/influencer/the-financial-diet?utm_campaign=INF&utm_medium=paid_social&utm_source=Instagram&utm_content=tfdinvesting

And special thanks to DeleteMe! Remove your personal information from the web at https://joindeleteme.com/TFD and use code 'TFD' for 20% off!

Chelsea breaks down our abundance-obsessed culture, and the very thin line between hyperconsumption and hoarding. 

Special thanks to Paige Pritchard: https://overcomingoverspending.com/

SOURCE LINKS:

https://www.pbs.org/wgbh/americanexperience/features/tupperware-consumer/ 
https://www.finder.com/money/cost-of-convenience
https://www.thecut.com/article/scarcity-brain-spending-interview.html 
https://hbr.org/2020/01/advertising-makes-us-unhappy 
https://www.psychologytoday.com/us/blog/pleased-to-meet-me/202402/social-media-creates-unhappiness-by-promoting-materialism
https://www.bloomberg.com/opinion/articles/2024-02-06/-money-dysmorphia-traps-millennials-and-gen-zers 
https://historyfacts.com/us-history/article/7-things-that-are-much-cheaper-now-than-they-used-to-be/ 
https://jingdaily.com/posts/how-chinas-shein-conquered-global-social-media 
https://qz.com/189904/the-case-for-fewer-but-better-clothes 
https://www.theatlantic.com/family/archive/2019/09/american-houses-big/597811/ 
https://finance.yahoo.com/news/why-everyone-america-seems-more-105500103.html 
https://get.doordash.com/en-us/blog/food-delivery-statistics
https://www.midcenturymondays.com/p/about-those-1950s-home-prices 
https://www.lendingtree.com/credit-cards/study/beauty-spending/ 
https://www.statista.com/statistics/509679/value-of-the-global-anti-aging-market/
https://www.medpagetoday.com/dermatology/generaldermatology/111772 
https://www.thecut.com/article/how-to-stay-hot-beauty-treatments-products.html 
https://www.vox.com/the-goods/23388038/positano-travel-instagram 
https://historyfacts.com/us-history/article/7-things-that-are-much-cheaper-now-than-they-used-to-be/ 
https://www.theatlantic.com/technology/archive/2022/08/hgtv-flipping-houses-cheap-redesign/671187/ 
https://www.fool.com/research/house-flipping-statistics 
https://www.washingtonpost.com/home/2022/03/17/restocking-tiktok-home-organization/ 
https://thehilltoponline.com/2024/09/09/rage-bait-is-making-users-mad-and-content-creators-money/

00:00:01 Intro
00:03:05 Ad break
6:00 Intro
00:12:56 The psychology of more
00:21:16 How fast fashion cheapened everything
00:33:08 Mukbangs, how watching people eat became the new TV
00:39:40 How the hyperconsumption model took over our skin
00:45:20 Getting the photo (or video) culture
00:52:24 The tyranny of restock culture
01:00:55 Conclusion

Join this channel to get access to perks:
https://www.youtube.com/channel/UCSPYNpQ2fHv9HJ-q6MIMaPw/join

The Financial Diet site:
http://www.thefinancialdiet.com

Facebook: https://www.facebook.com/thefinancialdiet
Twitter: https://twitter.com/TFDiet
Instagram: https://www.instagram.com/thefinancialdiet/?hl=en",The Financial Diet,2024-10-30T00:00:06Z
